	
1	7
2	5
3	2
4	4
5	17
6	6
7	14
8	1
9	5
10	4
11	4
12	12
13	8
14	13
15	1
16	2
17	5
18	2
19	2
20	12
21	16
22	2
23	1
24	3
25	7
26	19
27	2
28	3
29	8
30	1
31	2
32	26
33	11
34	5
35	1
36	13
37	14
38	19
39	7
40	6
41	13
42	16
43	9
44	15
45	7
46	2
47	32
48	8
49	4
50	10
51	17
52	11
53	13
54	1
55	6
56	3
57	2
58	1
59	12
60	12
61	14
62	5
63	1
64	1
65	9
66	4
67	5
68	23
69	13
70	3
71	3
72	6
73	3
74	6
75	1
76	15
77	10
78	2
79	10
80	1
81	5
82	6
83	4
84	5
85	3
86	18
87	6
88	8
89	3
90	12
91	8
92	2
93	16
94	9
95	4
96	6
97	10
98	6
99	3
100	8
101	8
102	11
103	7
104	17
105	7
106	12
107	1
108	11
109	7
110	11
111	13
112	14
113	7
114	8
115	10
116	14
117	8
118	6
119	11
120	27
121	4
122	7
123	4
124	2
125	1
126	10
127	16
128	23
129	2
130	14
131	1
132	6
133	5
134	6
135	11
136	11
137	3
138	4
139	7
140	10
141	5
142	5
143	2
144	7
145	3
146	5
147	18
148	26
149	5
150	14
151	7
152	1
153	3
154	24
155	5
156	6
157	2
158	24
159	22
160	18
161	27
162	8
163	2
164	10
165	3
166	11
167	4
168	2
169	23
170	6
171	5
172	3
173	4
174	2
175	12
176	13
177	10
178	17
179	9
180	5
181	6
182	15
183	29
184	8
185	6
186	14
187	22
188	6
189	17
190	8
191	23
192	3
193	2
194	1
195	5
196	3
197	6
198	3
199	4
200	2
201	17
202	2
203	13
204	1
205	10
206	10
207	3
208	20
209	1
210	4
211	6
212	9
213	4
214	3
215	13
216	12
217	6
218	4
219	9
220	8
221	1
222	5
223	2
224	10
225	4
226	4
227	4
228	7
229	21
230	5
231	24
232	10
233	9
234	1
235	1
236	15
237	5
238	8
239	4
240	18
241	31
242	1
243	5
244	11
245	16
246	12
247	7
248	2
249	5
250	7
251	3
252	5
253	23
254	4
255	3
256	5
257	4
258	18
259	13
260	13
261	21
262	3
263	8
264	11
265	6
266	16
267	3
268	7
269	7
270	8
271	6
272	1
273	5
274	3
275	12
276	21
277	13
278	23
279	2
280	8
281	3
282	1
283	8
284	18
285	5
286	4
287	19
288	18
289	1
290	2
291	3
292	13
293	1
294	5
295	12
296	6
297	1
298	6
299	1
300	6
301	2
302	19
303	13
304	14
305	3
306	14
307	20
308	6
309	7
310	9
311	2
312	29
313	5
314	18
315	6
316	23
317	6
318	19
319	11
320	10
321	5
322	13
323	4
324	7
325	11
326	5
327	2
328	7
329	1
330	5
331	20
332	5
333	4
334	16
335	21
336	3
337	12
338	14
339	13
340	19
341	18
342	16
343	4
344	11
345	1
346	4
347	10
348	17
349	10
350	5
351	7
352	31
353	27
354	8
355	7
356	7
357	6
358	7
359	1
360	13
361	3
362	13
363	11
364	1
365	1
366	1
367	5
368	15
369	1
370	12
371	13
372	4
373	12
374	19
375	4
376	2
377	3
378	8
379	1
380	3
381	15
382	12
383	2
384	5
385	9
386	6
387	5
388	9
389	3
390	1
391	4
392	22
393	4
394	2
395	4
396	2
397	17
398	14
399	3
400	14
401	10
402	1
403	10
404	5
405	10
406	6
407	1
408	28
409	10
410	11
411	14
412	7
413	3
414	23
415	5
416	1
417	16
418	10
419	6
420	2
421	9
422	4
423	20
424	7
425	4
426	6
427	3
428	6
429	13
430	11
431	16
432	1
433	5
434	4
435	19
436	1
